source,target,type
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:289,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1423,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:290,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1489,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:292,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:292,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1466,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:292,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1513,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:293,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:505,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:293,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:506,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:293,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:507,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:293,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:508,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1420,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1466,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1471,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1477,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1501,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1502,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1513,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1518,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1520,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1521,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1523,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1524,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:295,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1526,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:296,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:297,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1471,TREATS
