id,label,props
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:0,Drug,"{'name': 'ACETAMINOPHEN', 'chembl_id': 'CHEMBL112', 'smiles': 'CC(=O)Nc1ccc(O)cc1'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1,Drug,"{'name': 'NITRIC OXIDE', 'chembl_id': 'CHEMBL1200689', 'smiles': '[N]=O'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:2,Drug,"{'name': 'DECITABINE', 'chembl_id': 'CHEMBL1201129', 'smiles': 'Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:3,Drug,"{'name': 'PRASUGREL', 'chembl_id': 'CHEMBL1201772', 'smiles': 'CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:4,Drug,"{'name': 'LUSPATERCEPT', 'chembl_id': 'CHEMBL3039545'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:5,Drug,"{'name': 'MAGNESIUM SULFATE', 'chembl_id': 'CHEMBL3989857', 'smiles': 'O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Mg+2]'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:6,Drug,"{'name': 'CRIZANLIZUMAB', 'chembl_id': 'CHEMBL4297734'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:7,Drug,"{'name': 'ARGININE BUTYRATE', 'chembl_id': 'CHEMBL4297982'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:8,Drug,"{'name': 'HYDROXYUREA', 'chembl_id': 'CHEMBL467', 'smiles': 'NC(=O)NO'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:9,Drug,"{'name': 'DEFERASIROX', 'chembl_id': 'CHEMBL550348', 'smiles': 'O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:10,Drug,"{'name': 'DEFEROXAMINE', 'chembl_id': 'CHEMBL556', 'smiles': 'CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:11,Drug,"{'name': 'FENTANYL CITRATE', 'chembl_id': 'CHEMBL688', 'smiles': 'CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:12,Drug,"{'name': 'DEFERIPRONE', 'chembl_id': 'CHEMBL70927', 'smiles': 'Cc1c(O)c(=O)ccn1C'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:13,Target,"{'uniprot_id': 'Q16236', 'name': 'Nuclear factor erythroid 2-related factor 2', 'chembl_id': 'CHEMBL1075094'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:14,Target,"{'uniprot_id': 'Q9NUW8', 'name': 'Tyrosyl-DNA phosphodiesterase 1', 'chembl_id': 'CHEMBL1075138'}"
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:15,Target,"{'uniprot_id': 'O60885', 'name': 'Bromodomain-containing protein 4', 'chembl_id': 'CHEMBL1163125'}"
